,centigrade,Power consumption
0,31,1318.8
1,30,1238.5
2,30,1168.5
3,29,1103.8
4,28,1050.6
5,27,1006.2
6,28,978.4
7,29,935.9
8,29,972.3
9,32,1113.2
10,34,1262.7
11,36,1380.6
12,37,1450.5
13,38,1517.4
14,39,1512.4
15,39,1499
16,39,1489.4
17,39,1506.8
18,38,1483.5
19,36,1436.6
20,36,1411
21,35,1528.8
22,33,1543.1
23,32,1474.7
24,31,1368.3
25,30,1272.4
26,30,1198.8
27,30,1130.1
28,29,1071.1
29,29,1029.5
30,28,1002.2
31,29,964.2
32,30,990.4
33,31,1130.5
34,32,1246.3
35,34,1357.7
36,35,1447
37,36,1517.2
38,37,1506.6
39,38,1499
40,37,1492.9
41,36,1504.2
42,35,1475.4
43,35,1456.5
44,34,1452
45,33,1479.3
46,32,1501.6
47,31,1453.4
